Date,Close
6/25/2019,33.9
6/26/2019,34.23
6/27/2019,34.29
6/28/2019,34.67
7/1/2019,35.07
7/2/2019,35.19
7/3/2019,35.53
7/5/2019,35.61
7/8/2019,35.7
7/9/2019,35.76
7/10/2019,35.52
7/11/2019,35.64
7/12/2019,35.96
7/15/2019,35.84
7/16/2019,36.03
7/17/2019,35.54
7/18/2019,36.09
7/19/2019,35.05
7/22/2019,35.34
7/23/2019,36.08
7/24/2019,36.59
7/25/2019,36.51
7/26/2019,36.6
7/29/2019,36.35
7/30/2019,36.19
7/31/2019,35.88
8/1/2019,35.52
8/2/2019,35.06
8/5/2019,33.74
8/6/2019,34.27
8/7/2019,34.41
8/8/2019,35.01
8/9/2019,35.26
8/12/2019,33.9
8/13/2019,34.68
8/14/2019,32.84
8/15/2019,32.76
8/16/2019,33.43
8/19/2019,33.46
8/20/2019,32.94
8/21/2019,33.04
8/22/2019,32.88
8/23/2019,31.55
8/26/2019,31.83
8/27/2019,31.39
8/28/2019,31.97
8/29/2019,32.26
8/30/2019,32.05
9/3/2019,31.74
9/4/2019,32.3
9/5/2019,33.28
9/6/2019,32.88
9/9/2019,33.71
9/10/2019,33.8
9/11/2019,33.93
9/12/2019,33.85
9/13/2019,34.18
9/16/2019,33.89
9/17/2019,33.96
9/18/2019,34.08
9/19/2019,34.04
9/20/2019,33.86
9/23/2019,34.12
9/24/2019,33.67
9/25/2019,33.85
9/26/2019,33.66
9/27/2019,33.62
9/30/2019,34.09
10/1/2019,33.15
10/2/2019,32.17
10/3/2019,32.25
10/4/2019,32.64
10/7/2019,32.42
10/8/2019,31.4
10/9/2019,32.15
10/10/2019,32.49
10/11/2019,33.04
10/14/2019,33.12
10/15/2019,33.69
10/16/2019,33.49
10/17/2019,33.98
10/18/2019,34.29
10/21/2019,35.06
10/22/2019,34.97
10/23/2019,35.09
10/24/2019,35.01
10/25/2019,35.29
10/28/2019,35.68
10/29/2019,35.79
10/30/2019,35.59
10/31/2019,35.37
11/1/2019,35.74
11/4/2019,36.2
11/5/2019,36.28
11/6/2019,36.82
11/7/2019,36.96
11/8/2019,36.94
11/11/2019,36.89
11/12/2019,36.89
11/13/2019,36.56
11/14/2019,36.73
11/15/2019,37.05
11/18/2019,37.11
11/19/2019,36.92
11/20/2019,36.56
11/21/2019,36.77
11/22/2019,36.9
11/25/2019,37.33
11/26/2019,37.39
11/27/2019,37.38
11/29/2019,37.41
12/2/2019,37.14
12/3/2019,36.82
12/4/2019,37.48
12/5/2019,37.49
12/6/2019,37.76
12/9/2019,37.56
12/10/2019,37.42
12/11/2019,37.14
12/12/2019,37.69
12/13/2019,37.69
12/16/2019,37.18
12/17/2019,36.91
12/18/2019,36.79
12/19/2019,36.44
12/20/2019,36.74
12/23/2019,36.33
12/24/2019,36.32
12/26/2019,36.26
12/27/2019,36.29
12/30/2019,36.05
12/31/2019,36.01
